std_account_name,class_of_trade,on_off_premise,address,city,state,zip_code
ABC Package,LIQUOR/PACKAGE STORE,OFF,2303 W Broad St,Athens,GA,30606
7 DAYS LIQUOR,LIQUOR/PACKAGE STORE,OFF,1700 VICTORY BL,GLENDALE,CA,91201
CANTINA LIQUORS,LIQUOR/PACKAGE STORE,OFF,8310 6TH ST,WELLINGTON,CO,80549
CENTRAL LIQUOR,LIQUOR/PACKAGE STORE,OFF,178 ORANGE AV,CORONADO,CA,92118
SUMMERLAND WINES & SPIRITS,LIQUOR/PACKAGE STORE,OFF,24816 OVERSEAS HWY,SUMMERLAND KEY,FL,33042
HIGH MOUNTAIN LIQUOR,LIQUOR/PACKAGE STORE,OFF,901 N MAIN STREET,GUNNISON,CO,81230
DIMENSION LIQUOR,LIQUOR/PACKAGE STORE,OFF,20761 LAKE FOREST #J,LAKE FOREST,CA,92630
DIVINO,LIQUOR/PACKAGE STORE,OFF,1240 S BROADWAY,DENVER,CO,80210
GULF DISCOUNT LIQUORS,LIQUOR/PACKAGE STORE,OFF,1535 MADRUGA ST,CORAL GABLES,FL,33146
LITTLES LIQUORS INC,LIQUOR/PACKAGE STORE,OFF,2390 S DOWNING STREET,DENVER,CO,80210
WINE BANK,LIQUOR/PACKAGE STORE,OFF,363 5TH AV,SAN DIEGO,CA,92101
BOYNTON WINE & SPIRITS,LIQUOR/PACKAGE STORE,OFF,1550 N FEDERAL HWY,BOYNTON BEACH,FL,33435
The Bottleshop,LIQUOR/PACKAGE STORE,OFF,101 Southern Way,Columbus,GA,31904
DE LUCA S MARKET INC,LIQUOR/PACKAGE STORE,OFF,11 CHARLES ST,BOSTON,MA,02114
SPRINGS LIQUOR OUTLET,LIQUOR/PACKAGE STORE,OFF,6010 NORTH CAREFREE CIRCLE,COLORADO SPRINGS,CO,80922
Five Points Bottle Shop,LIQUOR/PACKAGE STORE,OFF,1655 Lumpkin St,Athens,GA,30606
CORKED,LIQUOR/PACKAGE STORE,OFF,1520 AVIATION BL,REDONDO BEACH,CA,90278
LIQUOR WORLD,LIQUOR/PACKAGE STORE,OFF,235 OLD CONNECTICUT PATH,FRAMINGHAM,MA,01701
DANNY S WINE AND SPIRITS,LIQUOR/PACKAGE STORE,OFF,474 BOSTON POST ROAD,SUDBURY,MA,01776
VILLAGE LIQUOR,LIQUOR/PACKAGE STORE,OFF,2905 HONOLULU AV,LA CRESCENTA,CA,91214
DUXBURY WINE & SPIRITS,LIQUOR/PACKAGE STORE,OFF,1-1A WASHINGTON PO 1654,DUXBURY,MA,02332
The Big Chill,LIQUOR/PACKAGE STORE,OFF,1210 Thompson Bridge Rd Unit D1,Gainesville,GA,30501
Loganville Package Store,LIQUOR/PACKAGE STORE,OFF,3967 Atlanta Highway,Loganville,GA,30052
RESERVE WINE & SPIRIT,LIQUOR/PACKAGE STORE,OFF,1915 W LEAGUE CITY PKWY STE 180,LEAGUE CITY,TX,77573
RJ S WINE & SPIRITS,LIQUOR/PACKAGE STORE,OFF,4321 CORBETT DRIVE SUITE 100,FORT COLLINS,CO,80528
LEE S LIQUOR #20 HORIZON RIDGE,LIQUOR/PACKAGE STORE,OFF,1450 W HORIZON RIDGE PKWY -415,HENDERSON,NV,89012
DELUCA S MARKET,LIQUOR/PACKAGE STORE,OFF,239 NEWBURY ST,BOSTON,MA,02116
PINYON TREE LIQUORS,LIQUOR/PACKAGE STORE,OFF,321 E MAIN ST 3 AND 4,RANGELY,CO,81648
BOONE S WINE & SPIRITS,LIQUOR/PACKAGE STORE,OFF,65 MARKET STREET UNITS 2-7,EAGLE,CO,81631
POTTER LIQUOR,LIQUOR/PACKAGE STORE,OFF,412 N FRIENDSWOOD DRIVE,FRIENDSWOOD,TX,77546
LUCKY ME LIQUOR 2,LIQUOR/PACKAGE STORE,OFF,2648 PATTERSON RD STE A B C,GRAND JUNCTION,CO,81506
MOUNTAIN CELLARS,LIQUOR/PACKAGE STORE,OFF,8290 RAZORBACK ROAD,COLORADO SPRINGS,CO,80922
Everest Spirits & Wine Warehouse,LIQUOR/PACKAGE STORE,OFF,135 Ernest W Barrett Pkwy,Marietta,GA,30066
Wine & Spirits at Windsor,LIQUOR/PACKAGE STORE,OFF,464 Windsor St SW Ste 105,Atlanta,GA,30312
LEE S LIQUOR #21 EL CAPITAN,LIQUOR/PACKAGE STORE,OFF,7752 N EL CAPITAN WAY,LAS VEGAS,NV,89143
PINEY WINE & SPIRITS,LIQUOR/PACKAGE STORE,OFF,26289 HIGHWAY 74,KITTREDGE,CO,80457
Rox Wine & Spirits (Cumming),LIQUOR/PACKAGE STORE,OFF,910 Peachtree Pkwy,Cumming,GA,30041
Liquor Empire,LIQUOR/PACKAGE STORE,OFF,1014 US Hwy 80 E,Pooler,GA,31322
Charlie s 2 Beer Wine Spirits,LIQUOR/PACKAGE STORE,OFF,5080 Bells Ferry Rd.,Acworth,GA,30102
Hills Package Store,LIQUOR/PACKAGE STORE,OFF,2055 N Druid Hills Rd Ne Ste B,Atlanta,GA,30329
Beverage City 2,LIQUOR/PACKAGE STORE,OFF,5370 Highway 92  Ste 140,Fairburn,GA,30213
Beer & Wine Package Store,LIQUOR/PACKAGE STORE,OFF,5039 Buford Hwy,Atlanta,GA,30341
Cork And Keg,LIQUOR/PACKAGE STORE,OFF,6750 Highway 53  Ste 101,Braselton,GA,30517
Rome Liquor & Tobacco,LIQUOR/PACKAGE STORE,OFF,600 E 2nd Ave SW,Rome,GA,30161
The Winery 2,LIQUOR/PACKAGE STORE,OFF,2101 Savoy Dr.,Chamblee,GA,30341
BELLEVIEW WINE AND SPIRITS,LIQUOR/PACKAGE STORE,OFF,7795 E BELLEVIEW AVE UNIT 3,DENVER,CO,80237
Sol s Liquor,LIQUOR/PACKAGE STORE,OFF,186 Courtland St NE,Atlanta,GA,30303
Mountain Package Store,LIQUOR/PACKAGE STORE,OFF,5765 Rockbridge Rd  Ste D,Stone Mountain,GA,30087
Bullocks Wine & Spirits Whse,LIQUOR/PACKAGE STORE,OFF,1050 Buckhead Crossing,Woodstock,GA,30189
